Waktu,PM10,PM25,SO2,CO,O3,NO2,HC,Kelembaban,Suhu
2024-03-22,36,37,2,500,22,16,4,79,27
2024-03-23,44,45,2,648,24,17,9,77,28
2024-03-24,42,43,2,574,26,16,5,86,27
2024-03-25,28,29,3,617,28,17,2,89,26
2024-03-26,25,26,1,469,30,16,1,84,27
2024-03-27,32,34,2,608,32,16,5,91,25
2024-03-28,30,31,13,808,33,17,3,83,26
2024-03-29,26,27,1,416,35,16,1,84,26
2024-03-30,28,28,7,568,37,17,2,88,26
2024-03-31,30,31,12,741,39,17,5,87,27
2024-04-01,40,42,19,840,41,18,3,86,26
2024-04-02,38,40,2,482,43,15,1,85,27
2024-04-03,22,24,82,943,49,20,2,93,25
2024-04-04,28,30,113,943,56,22,3,82,28
2024-04-05,36,40,99,2185,51,21,4,81,27
2024-04-06,32,36,87,1641,53,21,6,78,28
2024-04-07,28,29,87,1692,53,22,7,73,29
2024-04-08,18,19,82,1650,50,21,4,74,28
2024-04-09,24,26,87,1773,49,22,4,76,28
2024-04-10,18,19,86,1765,49,21,6,77,28
2024-04-11,16,16,73,1556,48,21,9,79,28
2024-04-12,22,24,89,1744,50,23,9,90,26
2024-04-13,16,18,78,1544,48,21,6,81,28
2024-04-14,13,14,93,1827,46,24,2,88,26
2024-04-15,16,18,90,1684,49,24,4,82,28
2024-04-16,29,33,90,1837,51,24,6,81,28
2024-04-17,27,32,59,1820,38,30,7,88,26
2024-04-18,15,16,1,1501,9,35,9,83,27
2024-04-19,20,22,11,1649,9,35,10,81,27
2024-04-22,22,23,73,1547,1,12,10,76,29
2024-04-23,32,34,89,1729,2,13,10,89,26
2024-04-24,41,42,92,1646,2,14,9,86,27
2024-04-25,29,30,85,1622,2,12,7,89,26
2024-04-26,15,15,83,1661,2,13,8,86,27
2024-04-27,24,24,88,1665,2,14,8,83,27
2024-04-28,13,14,93,2056,3,13,8,85,26
2024-04-29,38,40,34,1524,4,49,8,69,32
2024-04-30,43,45,43,1974,5,49,8,82,28
2024-05-01,51,55,43,1744,4,49,6,89,27
2024-05-02,34,35,45,1647,3,49,7,87,27
2024-05-03,46,48,46,1660,3,49,5,85,27
2024-05-04,36,37,50,1805,3,49,5,86,26
2024-05-05,40,42,36,1504,3,49,5,78,28
2024-05-06,42,44,35,1597,3,49,4,75,28
2024-05-07,58,60,38,1382,4,48,3,72,29
2024-05-08,65,37,51,1480,5,49,2,77,28
2024-05-09,55,1,39,1235,4,49,4,75,28
2024-05-10,63,1,38,1334,5,48,4,76,29
2024-05-11,45,1,38,1444,5,48,6,78,29
2024-05-12,36,1,35,1433,4,48,4,75,29
2024-05-13,44,1,37,1417,4,48,7,78,28
2024-05-14,45,1,42,1601,4,49,5,84,27
2024-05-15,58,1,40,1396,4,49,3,75,29
2024-05-16,57,1,36,1395,4,49,2,85,27
2024-05-17,57,1,38,1565,2,49,4,83,27
2024-05-18,43,1,31,1386,3,49,5,80,28
2024-05-19,45,1,37,1441,3,49,4,83,27
2024-05-20,53,1,35,1215,3,49,3,79,28
2024-05-21,63,16,7,1083,42,55,104,82,30
2024-05-22,76,20,7,809,33,40,202,69,24
2024-05-23,53,56,9,397,20,44,295,64,30
2024-05-24,39,18,3,1181,58,42,361,93,28
2024-05-25,67,43,7,1106,17,30,464,90,25
2024-05-26,32,32,1,710,45,41,471,69,24
2024-05-27,45,40,4,951,47,32,449,78,31
2024-05-28,63,58,4,343,49,42,146,91,26
2024-05-29,43,48,5,808,29,12,454,60,26
2024-05-30,47,24,7,400,44,27,410,64,24
2024-05-31,35,50,7,323,57,34,407,63,30
2024-06-01,35,28,4,386,34,51,243,75,25
2024-06-02,48,45,7,525,44,40,368,83,32
2024-06-03,77,29,3,663,34,12,469,75,26
2024-06-04,60,22,6,548,38,49,223,61,25
2024-06-05,64,28,2,970,27,55,205,87,26
2024-06-06,48,37,9,859,55,33,257,91,28
2024-06-07,27,54,5,963,27,59,246,86,30
2024-06-08,46,35,6,1154,11,41,244,79,28
2024-06-09,77,30,4,1131,44,56,219,83,26
2024-06-10,26,59,7,602,25,31,418,71,31
2024-06-11,48,32,9,545,50,32,374,94,31
2024-06-12,68,38,7,1162,45,11,191,92,28
2024-06-13,54,40,1,710,42,36,157,92,31
2024-06-14,62,39,1,346,13,51,445,71,26
2024-06-15,26,59,9,347,42,11,328,62,24
2024-06-16,45,55,9,1063,23,35,216,60,28
2024-06-17,57,43,4,910,30,26,417,92,32
2024-06-18,36,29,9,1019,57,49,378,69,32
2024-06-19,46,59,3,688,29,42,226,88,23
2024-06-20,68,15,7,1128,17,18,492,72,30
2024-06-21,49,39,6,1135,16,52,495,71,31
2024-06-22,73,21,8,839,12,57,228,90,31
2024-06-23,51,23,9,750,26,48,157,61,22
2024-06-24,66,38,5,537,42,38,221,94,27
2024-06-25,52,15,1,1071,57,51,100,82,28
2024-06-26,40,58,3,840,21,35,338,76,29
2024-06-27,39,22,8,978,31,44,389,85,31
2024-06-28,71,38,6,1187,31,59,195,67,30
2024-06-29,75,25,8,1152,55,34,225,88,23
2024-06-30,68,31,9,672,39,33,217,85,32
2024-07-01,79,22,4,1145,47,22,147,69,31
2024-07-02,76,49,1,350,47,16,188,85,23
2024-07-03,27,49,1,614,54,45,336,93,26
2024-07-04,61,47,4,1189,17,54,472,66,26
2024-07-05,75,19,7,497,36,29,484,63,27
2024-07-06,31,56,2,810,36,10,371,70,24
2024-07-07,45,53,3,462,43,17,288,88,29
2024-07-08,33,55,1,963,30,55,291,84,22
2024-07-09,63,42,5,343,39,25,168,80,27
2024-07-10,42,21,1,545,42,23,377,69,25
2024-07-11,28,23,8,823,37,21,448,68,22
2024-07-12,49,22,1,771,56,32,346,83,28
2024-07-13,38,26,1,1080,42,24,175,94,30
2024-07-14,74,48,2,201,14,37,253,94,25
2024-07-15,33,47,2,1096,57,43,243,77,25
2024-07-16,50,37,6,503,28,11,185,91,27
2024-07-17,77,38,7,453,13,41,284,83,24
2024-07-18,26,51,5,851,44,32,384,82,27
2024-07-19,44,49,1,652,58,31,319,91,28
2024-07-20,52,58,1,236,26,34,168,71,32
2024-07-21,71,54,3,359,53,31,146,72,31
2024-07-22,31,36,2,208,37,31,193,82,31
2024-07-23,68,41,5,432,39,58,337,84,24
2024-07-24,32,49,6,298,38,51,303,94,28
2024-07-25,71,15,7,858,55,15,499,89,24
2024-07-26,59,49,4,1015,15,24,317,76,23
2024-07-27,38,51,7,407,44,52,440,79,31
2024-07-28,41,28,8,330,50,46,138,84,25
2024-07-29,60,17,1,603,46,42,199,81,29
2024-07-30,74,15,6,351,33,17,388,72,30
2024-07-31,64,19,8,253,38,53,353,78,28
2024-08-01,28,40,5,319,58,53,321,71,22
